# Obrigatório | A unique content ID for the item. Use the item's SKU if you can. Each content ID must appear only once in your catalog. To run dynamic ads this ID must exactly match the content ID for the same item in your Meta Pixel code. Character limit: 100,# Obrigatório | A specific and relevant title for the item. See title specifications: https://www.facebook.com/business/help/2104231189874655 Character limit: 200,# Obrigatório | A short and relevant description of the item. Include specific or unique product features like material or color. Use plain text and don't enter text in all capital letters. See description specifications: https://www.facebook.com/business/help/2302017289821154 Character limit: 9999,# Obrigatório | The current availability of the item. | Valores aceitos: in stock; out of stock,# Obrigatório | The current condition of the item. | Valores aceitos: new; used,# Obrigatório | The price of the item. Format the price as a number followed by the 3-letter currency code (ISO 4217 standards). Use a period (.) as the decimal point; don't use a comma.,# Obrigatório | The URL of the specific product page where people can buy the item.,# Obrigatório | The URL for the main image of your item. Images must be in a supported format (JPG/GIF/PNG) and at least 500 x 500 pixels.,# Obrigatório | O nome da marca do item. Limite de caracteres: 100.,# Opcional | The Google product category for the item. Learn more about product categories: https://www.facebook.com/business/help/526764014610932.,# Opcional | The Facebook product category for the item. Learn more about product categories: https://www.facebook.com/business/help/526764014610932.,# Opcional | The quantity of this item you have to sell on Facebook and Instagram with checkout. Must be 1 or higher or the item won't be buyable,# Opcional | The discounted price of the item if it's on sale. Format the price as a number followed by the 3-letter currency code (ISO 4217 standards). Use a period (.) as the decimal point; don't use a comma. A sale price is required if you want to use an overlay for discounted prices.,# Opcional | The time range for your sale period. Includes the date and time/time zone when your sale starts and ends. If this field is blank any items with a sale_price remain on sale until you remove the sale price. Use this format: YYYY-MM-DDT23:59+00:00/YYYY-MM-DDT23:59+00:00. Enter the start date as YYYY-MM-DD. Enter a 'T'. Enter the start time in 24-hour format (00:00 to 23:59) followed by the UTC time zone (-12:00 to +14:00). Enter '/' and then repeat the same format for your end date and time. The example row below uses PST time zone (-08:00).,# Opcional | Use this field to create variants of the same item. Enter the same group ID for all variants within a group. Learn more about variants: https://www.facebook.com/business/help/2256580051262113 Character limit: 100.,# Opcional | O gênero de uma pessoa para a qual o item é direcionado. | Valores aceitos: female; male; unisex,# Opcional | The color of the item. Use one or more words to describe the color. Don't use a hex code. Character limit: 200.,# Opcional | The size of the item written as a word or abbreviation or number. For example: small; XL; 12. Character limit: 200.,# Opcional | A faixa etária para a qual o item é direcionado. | Valores aceitos: adult; all ages; infant; kids; newborn; teen; toddler,# Opcional | O material de que o item é feito; como algodão; jeans ou couro. Limite de caracteres: 200.,# Opcional | The pattern or graphic print on the item. Character limit: 100.,# Opcional | Detalhes de envio do item. Formate o texto da seguinte maneira: País:Região:Serviço:Preço. Inclua o código de moeda ISO 4217 de 3 dígitos no preço. Para usar a sobreposição de frete grátis nos seus anúncios; insira o preço como 0.0. Use dois-pontos ";" ou vírgula ";" para separar vários detalhes de envio para diferentes regiões ou países. Apenas as pessoas na região ou no país especificado verão os detalhes de envio dessa região ou país. Você poderá omitir a região (mantenha os "::" duplos) se os detalhes de envio forem iguais para todo o país.,# Opcional | The shipping weight of the item. Include the unit of measurement (lb/oz/g/kg).,# Opcional | Legal disclaimer text for product offers. This text provides important legal or regulatory information that must be displayed with the product offer. For example: "Valid while supplies last. Terms and conditions apply.",# Opcional | URL linking to the full disclaimer text. This provides a link to a page containing the complete disclaimer information for the product offer. For example: "https://example.com/terms-and-conditions",# Opcional | O URL de um vídeo do seu produto. O link deve ser de um arquivo de vídeo em um site de hospedagem; não de um player de vídeo. Os vídeos devem estar em um formato compatível (.3g2; .3gp; .3gpp; .asf; .avi; .dat; .divx; .dv; .f4v; .flv; .gif; .m2ts; .m4v; .mkv; .mod; .mov; .mp4; .mpe; .mpeg; .mpeg4; .mpg; .mts; .nsv; .ogm; .ogv; .qt; .tod; .ts; .vob ou .wmv).,# Opcional | O URL de um vídeo do seu produto. O link deve ser de um arquivo de vídeo em um site de hospedagem; não de um player de vídeo. Os vídeos devem estar em um formato compatível (.3g2; .3gp; .3gpp; .asf; .avi; .dat; .divx; .dv; .f4v; .flv; .gif; .m2ts; .m4v; .mkv; .mod; .mov; .mp4; .mpe; .mpeg; .mpeg4; .mpg; .mts; .nsv; .ogm; .ogv; .qt; .tod; .ts; .vob ou .wmv).,# Opcional | O número global de item comercial (GTIN) do item. Recomendado para ajudar a classificar o item. Pode aparecer no código de barras; na embalagem ou na capa do livro. Forneça o GTIN apenas se tiver certeza de que está correto. Os tipos de GTIN incluem UPC (12 dígitos); EAN (13 dígitos); JAN (8 ou 13 dígitos); ISBN (13 dígitos) ou ITF-14 (14 dígitos),# Opcional | Add labels to products to help filter them into product sets. Max characters: 110 per label; 5000 labels per product,# Opcional | Add labels to products to help filter them into product sets. Max characters: 110 per label; 5000 labels per product,# Opcional | Descreva o estilo de moda desse item.
id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,item_group_id,gender,color,size,age_group,material,pattern,shipping,shipping_weight,offer_disclaimer,offer_disclaimer_url,video[0].url,video[0].tag[0],gtin,product_tags[0],product_tags[1],style[0]
AXION-FLOW-STARTER,AXION Flow — Plano Starter (Agente IA WhatsApp 24/7),Agente de IA comercial para WhatsApp e Meta Ads. Captura e qualifica leads 24 horas por dia com 7 dias grátis.,in stock,new,97.00 BRL,https://flow.axionenterprise.cloud,https://axionenterprise.cloud/assets/flow-banner.webp,AXION Enterprise,Software > Business & Productivity Software,Software > Business & Productivity Software,,,,,,,,,,,,,,,,,,AXION Flow,Automação Comercial,
AXION-FLOW-PRO,AXION Flow — Plano Professional (3 Agentes IA + Meta Ads),"3 Agentes autônomos de IA comercial, integração direta com Meta Ads, CRM nativo e até 2.500 conversas/mês.",in stock,new,297.00 BRL,https://flow.axionenterprise.cloud,https://axionenterprise.cloud/assets/flow-banner.webp,AXION Enterprise,Software > Business & Productivity Software,Software > Business & Productivity Software,,,,,,,,,,,,,,,,,,AXION Flow,IA Comercial,
AXION-FLOW-ENTERPRISE,AXION Flow — Plano Enterprise Multi-Canal,"Agentes virtuais ilimitados, conversas ilimitadas, API dedicada, Webhooks customizados e gerente de conta.",in stock,new,697.00 BRL,https://flow.axionenterprise.cloud,https://axionenterprise.cloud/assets/flow-banner.webp,AXION Enterprise,Software > Business & Productivity Software,Software > Business & Productivity Software,,,,,,,,,,,,,,,,,,AXION Flow,Enterprise,
AXION-PAY-STARTER,AXION Pay — Plano Starter (Pix 0.99% & Cartão),Gateway financeiro sem mensalidade. Pix instantâneo recebido em menos de 10 segundos e links de pagamento.,in stock,new,0.00 BRL,https://pay.axionenterprise.cloud,https://axionenterprise.cloud/assets/pay-banner.webp,AXION Enterprise,Software > Business & Productivity Software,Software > Business & Productivity Software,,,,,,,,,,,,,,,,,,AXION Pay,Gateway Financeiro,
AXION-PAY-PRO,AXION Pay — Plano Pro Checkout Transparente (Pix 0.89%),"Checkout transparente customizável, Pix 0.89%, Webhooks SHA-256 e suporte prioritário 24/7.",in stock,new,99.00 BRL,https://pay.axionenterprise.cloud,https://axionenterprise.cloud/assets/pay-banner.webp,AXION Enterprise,Software > Business & Productivity Software,Software > Business & Productivity Software,,,,,,,,,,,,,,,,,,AXION Pay,Checkout Transparente,
AXION-PAY-ENTERPRISE,AXION Pay — Plano Enterprise White-Label & API,"Gateway totalmente white-label com marca própria, gerente de conta dedicado e SLA de 99.9%.",in stock,new,499.00 BRL,https://pay.axionenterprise.cloud,https://axionenterprise.cloud/assets/pay-banner.webp,AXION Enterprise,Software > Business & Productivity Software,Software > Business & Productivity Software,,,,,,,,,,,,,,,,,,AXION Pay,White Label,
AXION-VPS-STARTER,"AXION VPS — Plano Starter (1 vCPU AMD, 2GB RAM, 50GB NVMe)","Servidor VPS cloud de alta velocidade com AMD EPYC, 50GB SSD NVMe, IP dedicado e Docker pré-instalado.",in stock,new,39.00 BRL,https://vps.axionenterprise.cloud,https://axionenterprise.cloud/assets/vps-banner.webp,AXION Enterprise,Software > Business & Productivity Software,Software > Business & Productivity Software,,,,,,,,,,,,,,,,,,AXION VPS,Nuvem,
AXION-VPS-PERFORMANCE,"AXION VPS — Plano Performance (2 vCPU AMD, 4GB RAM, 80GB NVMe)","Ideal para APIs REST, robôs de WhatsApp e aplicações comerciais em produção com IP dedicado.",in stock,new,79.00 BRL,https://vps.axionenterprise.cloud,https://axionenterprise.cloud/assets/vps-banner.webp,AXION Enterprise,Software > Business & Productivity Software,Software > Business & Productivity Software,,,,,,,,,,,,,,,,,,AXION VPS,Performance,
AXION-VPS-ENTERPRISE,"AXION VPS — Plano Enterprise Pro (4 vCPU AMD, 8GB RAM, 160GB NVMe)",Para bancos de dados PostgreSQL/Redis e sistemas de alto volume de tráfego com 99.9% de disponibilidade.,in stock,new,159.00 BRL,https://vps.axionenterprise.cloud,https://axionenterprise.cloud/assets/vps-banner.webp,AXION Enterprise,Software > Business & Productivity Software,Software > Business & Productivity Software,,,,,,,,,,,,,,,,,,AXION VPS,Servidor Pro,
AXION-VPS-DEDICATED,"AXION VPS — Plano Dedicated Max (8 vCPU AMD, 16GB RAM, 320GB NVMe)","Instância dedicada para grandes clusters, data lakes e pipelines de machine learning.",in stock,new,299.00 BRL,https://vps.axionenterprise.cloud,https://axionenterprise.cloud/assets/vps-banner.webp,AXION Enterprise,Software > Business & Productivity Software,Software > Business & Productivity Software,,,,,,,,,,,,,,,,,,AXION VPS,Dedicated,
AXION-PDV-SOLO,AXION PDV — Plano Solo (Ponto de Venda Windows Offline-First),Sistema de vendas e controle de caixa offline-first para 1 estação desktop com impressão térmica ESC/POS.,in stock,new,89.00 BRL,https://pdv.axionenterprise.cloud,https://axionenterprise.cloud/assets/pdv-banner.webp,AXION Enterprise,Software > Business & Productivity Software,Software > Business & Productivity Software,,,,,,,,,,,,,,,,,,AXION PDV,Ponto de Venda,
